Product_Name,Price,Ratings,Product_Link,Product_Image
$1000 Authentic Adidas Yeezy Boost 350 V2 YECHEI Multi Color Sneakers Sz.9.5 FS,"INR 41,271.20",-1,https://www.ebay.com/itm/1000-Authentic-Adidas-Yeezy-Boost-350-V2-YECHEI-Multi-Color-Sneakers-Sz-9-5-FS/324225612521?hash=item4b7d5a3ae9:g:Ya0AAOSwQYdfCLCk,https://i.ebayimg.com/thumbs/images/g/Ya0AAOSwQYdfCLCk/s-l225.jpg
yeezy Boost 350 V2 Menâs,"INR 22,887.59",-1,https://www.ebay.com/itm/yeezy-Boost-350-V2-Men-s/174354015032?hash=item28984f2338:g:nxQAAOSw6v5fE6Sh,https://i.ebayimg.com/thumbs/images/g/nxQAAOSw6v5fE6Sh/s-l225.jpg
ADIDAS YEEZY BOOST 350 V2 CITRIN Size 9.5 - Free Kaws Tote Bag Included,"INR 23,262.79",-1,https://www.ebay.com/itm/ADIDAS-YEEZY-BOOST-350-V2-CITRIN-Size-9-5-Free-Kaws-Tote-Bag-Included/293596426416?hash=item445bb5f0b0:g:Co8AAOSwjYFe0UFr,https://i.ebayimg.com/thumbs/images/g/Co8AAOSwjYFe0UFr/s-l225.jpg
Adidas Original Yeezy Boost 350 V2 SZ 8 Yeezreel Kanye West Japan FW5191,"INR 22,511.63",-1,https://www.ebay.com/itm/Adidas-Original-Yeezy-Boost-350-V2-SZ-8-Yeezreel-Kanye-West-Japan-FW5191/293383155657?hash=item444effafc9:g:t1EAAOSwMY9d-lgc,https://i.ebayimg.com/thumbs/images/g/t1EAAOSwMY9d-lgc/s-l225.jpg
Adidas Yeezy Boost 350 V2 Blue Tint B37571 Size 9.5,"INR 22,512.38",-1,https://www.ebay.com/itm/Adidas-Yeezy-Boost-350-V2-Blue-Tint-B37571-Size-9-5/402048916334?hash=item5d9bfb9b6e:g:x-oAAOSwnpleKhw7,https://i.ebayimg.com/thumbs/images/g/x-oAAOSwnpleKhw7/s-l225.jpg
Adidas Yeezy Boost 350 V2 Blue Tint Grey Sneakers Men's Size 4-7 B37571 New,"INR 48,776.83",-1,https://www.ebay.com/itm/Adidas-Yeezy-Boost-350-V2-Blue-Tint-Grey-Sneakers-Mens-Size-4-7-B37571-New/322972684462?hash=item4b32ac10ae:g:2WIAAOSwMkJaVvrW,https://i.ebayimg.com/thumbs/images/g/2WIAAOSwMkJaVvrW/s-l225.jpg
Brand New Adidas Yeezy Boost 350 V2 Shoes Black Non-Reflective Mens 12 US FU9006,"INR 41,272.70",5.0 out of 5 stars.,https://www.ebay.com/itm/Brand-New-Adidas-Yeezy-Boost-350-V2-Shoes-Black-Non-Reflective-Mens-12-US-FU9006/114335606827?epid=24034026638&hash=item1a9eeee82b:g:n-4AAOSwP49fJzOC,https://i.ebayimg.com/thumbs/images/g/n-4AAOSwP49fJzOC/s-l225.jpg
Adidas Yeezy Boost 350 V2 Trfrm True From US10.5 44 2/3,"INR 33,768.57",-1,https://www.ebay.com/itm/Adidas-Yeezy-Boost-350-V2-Trfrm-True-From-US10-5-44-2-3/133082628768?hash=item1efc57c2a0:g:47MAAOSwzMtdAJgZ,https://i.ebayimg.com/thumbs/images/g/47MAAOSwzMtdAJgZ/s-l225.jpg
ADIDAS - YEEZY BOOST 350 V2 CORE - BLACK AND WHITE LOW TOP SNEAKER - SIZE 12,"INR 41,422.78",-1,https://www.ebay.com/itm/ADIDAS-YEEZY-BOOST-350-V2-CORE-BLACK-AND-WHITE-LOW-TOP-SNEAKER-SIZE-12/303439181250?hash=item46a66275c2:g:Q9oAAOSw3DteFn-h,https://i.ebayimg.com/thumbs/images/g/Q9oAAOSw3DteFn-h/s-l225.jpg
Yeezy Boost 350 V2 Zebra Size US 11.5 ,"INR 33,768.57",-1,https://www.ebay.com/itm/Yeezy-Boost-350-V2-Zebra-Size-US-11-5/323459134040?hash=item4b4faab258:g:JXgAAOSwE1Bbm111,https://i.ebayimg.com/thumbs/images/g/JXgAAOSwE1Bbm111/s-l225.jpg
Adidas Yeezy Boost 350 V2 Zyon FZ1267 Size 11.5,"INR 22,512.38",-1,https://www.ebay.com/itm/Adidas-Yeezy-Boost-350-V2-Zyon-FZ1267-Size-11-5/293676582210?hash=item44607d0542:g:wSYAAOSwv0pfKYsR,https://i.ebayimg.com/thumbs/images/g/wSYAAOSwv0pfKYsR/s-l225.jpg
Adidas Yeezy Boost 350 V2 Clay,"INR 24,388.41 to INR 35,644.60",-1,https://www.ebay.com/itm/Adidas-Yeezy-Boost-350-V2-Clay/362967599243?hash=item54828e088b:g:FGgAAOSwSvNekQZZ,https://i.ebayimg.com/thumbs/images/g/FGgAAOSwSvNekQZZ/s-l225.jpg
yeezy boost 350 v2 static reflective,"INR 18,760.32",Time left,https://www.ebay.com/itm/yeezy-boost-350-v2-static-reflective/203067646563?hash=item2f47c66263:g:LyUAAOSw-q5fKdQ5,https://i.ebayimg.com/thumbs/images/g/LyUAAOSw-q5fKdQ5/s-l225.jpg
Adidas Yeezy Boost 350 V2 Citrin Non-Reflective Size 10.5 IN HAND 100% authentic,"INR 22,437.34",-1,https://www.ebay.com/itm/Adidas-Yeezy-Boost-350-V2-Citrin-Non-Reflective-Size-10-5-IN-HAND-100-authentic/274389729222?hash=item3fe2e6ffc6:g:yjgAAOSwafde2-U4,https://i.ebayimg.com/thumbs/images/g/yjgAAOSwafde2-U4/s-l225.jpg
2019 Adidas Yeezy Boost 350 V2 Black Reflective Size 12 124166747 SUPER RARE!,"INR 75,041.27",-1,https://www.ebay.com/itm/2019-Adidas-Yeezy-Boost-350-V2-Black-Reflective-Size-12-124166747-SUPER-RARE/274148468630?hash=item3fd485a796:g:dsoAAOSwDbBd-UST,https://i.ebayimg.com/thumbs/images/g/dsoAAOSwDbBd-UST/s-l225.jpg
100% AUTHENTIC ADIDAS YEEZY BOOST 350 V2 YEEZREEL NON REFLECTIVE FW5191 SIZE 9.5,"INR 37,519.89",-1,https://www.ebay.com/itm/100-AUTHENTIC-ADIDAS-YEEZY-BOOST-350-V2-YEEZREEL-NON-REFLECTIVE-FW5191-SIZE-9-5/293539069384?hash=item44584abdc8:g:TRgAAOSwSQheipqV,https://i.ebayimg.com/thumbs/images/g/TRgAAOSwSQheipqV/s-l225.jpg
"Adidas Men's Yeezy Boost 350 V2 Oreo Shoes, Size 9.5 US, Black / White","INR 19,885.94",Time left,https://www.ebay.com/itm/Adidas-Mens-Yeezy-Boost-350-V2-Oreo-Shoes-Size-9-5-US-Black-White/293669300339?hash=item44600de873:g:lyAAAOSwDjNe48Z1,https://i.ebayimg.com/thumbs/images/g/lyAAAOSwDjNe48Z1/s-l225.jpg
Adidas Yeezy boost  350 v2 clay Size 7.5 Used static reflective non zebra Zion,"INR 37,520.64",-1,https://www.ebay.com/itm/Adidas-Yeezy-boost-350-v2-clay-Size-7-5-Used-static-reflective-non-zebra-Zion/164317633424?hash=item2642181b90:g:yRQAAOSwu-BfJeb0,https://i.ebayimg.com/thumbs/images/g/yRQAAOSwu-BfJeb0/s-l225.jpg
