Product_Name,Price,Ratings,Product_Link,Product_Image
Apple iPhone 7 AT&T 128GB,"INR 14,911.95",4.5 out of 5 stars.,https://www.ebay.com/itm/Apple-iPhone-7-AT-T-128GB/274438493284?epid=225300193&hash=item3fe5cf1464:g:giYAAOSwK95fHDxc,https://i.ebayimg.com/thumbs/images/g/giYAAOSwK95fHDxc/s-l225.jpg
2 units Apple iPhone 8 - 256GB A1905 (UNLOCKED) Black (GSM + CDMA) Clean Grade A,"INR 37,317.35",Time left,https://www.ebay.com/itm/2-units-Apple-iPhone-8-256GB-A1905-UNLOCKED-Black-GSM-CDMA-Clean-Grade-A/164319096896?hash=item26422e7040:g:ShkAAOSwL1VfJzsc,https://i.ebayimg.com/thumbs/images/g/ShkAAOSwL1VfJzsc/s-l225.jpg
Apple iPhone 6 Plus - 64GB - Gold (Unlocked) A1522 (CDMA + GSM) Grade A,"INR 9,329.34",4.0 out of 5 stars.,https://www.ebay.com/itm/Apple-iPhone-6-Plus-64GB-Gold-Unlocked-A1522-CDMA-GSM-Grade-A/164319353946?epid=240377092&hash=item2642325c5a:g:OQYAAOSw-uVfJ4Pr,https://i.ebayimg.com/thumbs/images/g/OQYAAOSw-uVfJ4Pr/s-l225.jpg
Apple iPhone 6s - 64GB - Rose Gold (AT&T) A1633 (CDMA + GSM),"INR 11,239.42",4.5 out of 5 stars.,https://www.ebay.com/itm/Apple-iPhone-6s-64GB-Rose-Gold-AT-T-A1633-CDMA-GSM/254553170520?epid=216227960&hash=item3b448d2258:g:qlUAAOSw2fhecr9Y,https://i.ebayimg.com/thumbs/images/g/qlUAAOSw2fhecr9Y/s-l225.jpg
Apple iPhone 7 32GB Black MN9D2LLA - Grade A + Warranty!,"INR 19,482.20",-1,https://www.ebay.com/itm/Apple-iPhone-7-32GB-Black-MN9D2LLA-Grade-A-Warranty/163851209631?_trkparms=ispr%3D1&hash=item26264b0b9f:g:yjcAAOSwsAJdZNOm&amdata=enc%3AAQAFAAACYBaobrjLl8XobRIiIML1V4Imu%252Fn%252BzU5L90Z278x5ickkfOCvCjTOBWK8pwriaolq5gznlt%252FNm65XPbVYq4UKrYwmmFs0V6%252FGDQFakBczzmQ%252B5NgcW25XgYQVhQfqBU%252Fsn5uKtGNFMzB1VTJiqgoVlb0PWHsZo1Xvv1Ja5mszdINlwzMgM8ffshEvRKa68WKZypA08ysONrLeIju2W8iUH84jNW8wVVvc2B3jhOihbnMskntHfAVIvqVQ%252FGNToWZUyaZe4ZplD2hN1V2UChgPXEjCq3T0WSKLswKUEPfvvVs3abo0Kp5r0o%252FIZZC02hMDdzgkeBb1cikAbNodswrYA1CA9MFCCjhR8P0vyOoHAjZ7qLaU4OKpBOAoTxhG1D%252BuMWAZaY603qAn9WffABqmUMR%252BG0tBOnGznGeFnNqX%252BV2paccAQVWydJlKwPtREbwW6dFm%252BFbfRl%252FislARt5f8eSKzRCk3x%252FxF5n6lRoHhVKNhlOko6Cn6E%252FeSACbDmqBRP9N3%252BTbLwEeq6yfgwnab9PePkRfnPPsX1BRsF71FIXw%252Fq9fU5A2Zd2s7VDmif5Kyc%252BpvfaxbDLB%252BkMThYtBennBroxrXr3FmBXx8t61wu5z4fmobxOaZ7zE9kGAIEU4D3vKZOtoPM4LoOEVgdrvZYZuaKf84xMFI6oHDrkqHCkxicT8yCjMKjpdaLjT8Co1aL4BJe2fHNr8lZ6rzrwUusymxLNScpqemYFWoPPw%252F6VMkQDXgKZ%252Bk0FA%252FJdeOTFdV4HI3pW%252Bs%252FRhLnP6R%252Bb90nDgPulH%252FkbMTQdM5v8axLcih%7Ccksum%3A16385120963196629b3beb4243c7a24409d556847692%7Campid%3APL_CLK%7Cclp%3A2334524,https://i.ebayimg.com/thumbs/images/g/yjcAAOSwsAJdZNOm/s-l225.jpg
Apple iPhone 8 - 256GB - Silver (Factory Unlocked) Smartphone,"INR 104,906.71",4.5 out of 5 stars.,https://www.ebay.com/itm/Apple-iPhone-8-256GB-Silver-Factory-Unlocked-Smartphone/142512004242?epid=239009462&hash=item212e609c92:g:Y18AAOSw4PxaHuiO,https://i.ebayimg.com/thumbs/images/g/Y18AAOSw4PxaHuiO/s-l225.jpg
Apple iPhone 7 - 128GB - Rose Gold (Sprint) A1660 Clean iCloud - Used - 447,"INR 12,881.23",Previous Price,https://www.ebay.com/itm/Apple-iPhone-7-128GB-Rose-Gold-Sprint-A1660-Clean-iCloud-Used-447/233667843133?hash=item3667b0543d:g:H~UAAOSw97Re~jar,https://i.ebayimg.com/thumbs/images/g/H~UAAOSw97Re~jar/s-l225.jpg
Apple iPhone XR - 64GB - Black (Unlocked) A1984 (CDMA   GSM),"INR 52,079.43",5.0 out of 5 stars.,https://www.ebay.com/itm/Apple-iPhone-XR-64GB-Black-Unlocked-A1984-CDMA-GSM/174379703451?epid=13023706562&hash=item2899d71c9b:g:x8cAAOSwhQhej0NN,https://i.ebayimg.com/thumbs/images/g/x8cAAOSwhQhej0NN/s-l225.jpg
Apple iPhone 1st Generation - 8GB - Black (Unlocked) A1203 (GSM),"INR 18,733.61",4.5 out of 5 stars.,https://www.ebay.com/itm/Apple-iPhone-1st-Generation-8GB-Black-Unlocked-A1203-GSM/333273195149?epid=237109870&hash=item4d98a1628d:g:uT4AAOSwUvldNMPL,https://i.ebayimg.com/thumbs/images/g/uT4AAOSwUvldNMPL/s-l225.jpg
Apple iPhone 6s Plus - 64GB - Space Gray Unlocked CDMA + GSM *NO TOUCH ID*,"INR 10,490.07",-1,https://www.ebay.com/itm/Apple-iPhone-6s-Plus-64GB-Space-Gray-Unlocked-CDMA-GSM-NO-TOUCH-ID/153993679166?hash=item23dabd113e:g:Te8AAOSwDUpfJyAh,https://i.ebayimg.com/thumbs/images/g/Te8AAOSwDUpfJyAh/s-l225.jpg
