Product_Name,Price,Ratings,Product_Link,Product_Image
"Call of Duty Ops III Perks Shot Glass, Black, Set of 4",$11.99,4.8 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A05440293CVC4XJI2JU13&url=%2FCall-Duty-Perks-Glass-Black%2Fdp%2FB01LVW1EFC%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dcall%2Bof%2Bduty%2Bblack%2Bops%2B2%26qid%3D1596718623%26sr%3D8-1-spons%26psc%3D1&qualifier=1596718623&id=6989716357020492&widgetName=sp_atf,https://m.media-amazon.com/images/I/61syLOJSSPL._AC_UY218_.jpg
Activision Call of Duty: Black Ops 1 & 2 Combo Pack (Xbox 360),$31.47,4.7 out of 5 stars,https://www.amazon.com/Call-Duty-Black-Combo-Pack-X360/dp/B07859CC47/ref=sr_1_2?dchild=1&keywords=call+of+duty+black+ops+2&qid=1596718623&sr=8-2,https://m.media-amazon.com/images/I/71LFJ-TmhrL._AC_UY218_.jpg
Call of Duty Black Ops Collection - Xbox 360 Standard Edition,$30.93,4.5 out of 5 stars,https://www.amazon.com/Call-Duty-Black-Ops-Collection-Standard/dp/B01NCE21EA/ref=sr_1_3?dchild=1&keywords=call+of+duty+black+ops+2&qid=1596718623&sr=8-3,https://m.media-amazon.com/images/I/81aq9cqCBjL._AC_UY218_.jpg
Call of Duty: Black Ops II - Xbox 360,$29.99,4.6 out of 5 stars,https://www.amazon.com/Call-Duty-Black-Ops-Xbox-microsoft/dp/B007XVTR3K/ref=sr_1_4?dchild=1&keywords=call+of+duty+black+ops+2&qid=1596718623&sr=8-4,https://m.media-amazon.com/images/I/91ThLsWthnL._AC_UY218_.jpg
Call of Duty: Black Ops Combo Pack - PlayStation 3,$26.99,4.3 out of 5 stars,https://www.amazon.com/Call-Duty-Black-Combo-Pack-PlayStation/dp/B00VFVIKV4/ref=sr_1_5?dchild=1&keywords=call+of+duty+black+ops+2&qid=1596718623&sr=8-5,https://m.media-amazon.com/images/I/719Ij03wrmL._AC_UY218_.jpg
Call of Duty: Black Ops II - PlayStation 3,$32.10,4.3 out of 5 stars,https://www.amazon.com/Call-Duty-Black-PlayStation-sony-playstation3/dp/B007XVTR5S/ref=sr_1_6?dchild=1&keywords=call+of+duty+black+ops+2&qid=1596718623&sr=8-6,https://m.media-amazon.com/images/I/51kYpa4lksL._AC_UY218_.jpg
Call of Duty: Black Ops 4 (PS4),$24.83,4.4 out of 5 stars,https://www.amazon.com/dp/B07BBG487T/ref=sr_1_7?dchild=1&keywords=call+of+duty+black+ops+2&qid=1596718623&sr=8-7,https://m.media-amazon.com/images/I/81GN6gepa5L._AC_UY218_.jpg
Call of Duty Black Ops III Zombie Chronicles - PlayStation 4,$37.49,4.6 out of 5 stars,https://www.amazon.com/Call-Duty-Black-Ops-Zombie-Chronicles/dp/B074NFSX72/ref=sr_1_8?dchild=1&keywords=call+of+duty+black+ops+2&qid=1596718623&sr=8-8,https://m.media-amazon.com/images/I/912zYEugDoL._AC_UY218_.jpg
Call of Duty: Black Ops III Standard XB1,$27.00,4.7 out of 5 stars,https://www.amazon.com/Call-Duty-Black-Ops-III-Xbox/dp/B078ZNP1K7/ref=sr_1_9?dchild=1&keywords=call+of+duty+black+ops+2&qid=1596718623&sr=8-9,https://m.media-amazon.com/images/I/818jOn2bS9L._AC_UY218_.jpg
Call Of Duty: Black Ops 2 /ps3,$32.50,4.0 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0987306E6SP4MJGF0Z9&url=%2FCall-Duty-Black-Ops-Playstation-3%2Fdp%2FB00A675K7A%2Fref%3Dsr_1_10_sspa%3Fdchild%3D1%26keywords%3Dcall%2Bof%2Bduty%2Bblack%2Bops%2B2%26qid%3D1596718623%26sr%3D8-10-spons%26psc%3D1&qualifier=1596718623&id=6989716357020492&widgetName=sp_mtf,https://m.media-amazon.com/images/I/61ginoaO9bL._AC_UY218_.jpg
